Species,Weight,Length1,Length2,Length3,Height,Width
Bream,242.0,23.2,25.4,30.0,11.5200,4.0200
Bream,290.0,24.0,26.3,31.2,12.4800,4.3056
Bream,340.0,23.9,26.5,31.1,12.3778,4.6961
Bream,363.0,26.3,29.0,33.5,12.7300,4.4555
Bream,430.0,26.5,29.0,34.0,12.4440,5.1340
Parkki,154.818182,18.727273,20.345455,22.790909,8.962427,3.220736
Parkki,55.0,14.0,15.0,16.5,6.5000,2.5000
Perch,382.239286,25.735714,27.892857,29.571429,7.861870,4.745723
Perch,5.9,7.5,8.4,8.8,2.1120,1.1600
Pike,718.705882,42.476471,45.482353,48.717647,7.713771,5.086382
Pike,200.0,30.0,32.3,34.8,5.5600,3.3700
Roach,152.050000,20.645000,22.275000,24.970000,6.694795,3.657850
Roach,0.0,12.9,14.1,16.2,4.1472,2.2680
Bream,390.0,27.0,29.7,34.5,12.6700,4.5700
